name,symbol,cg_id
Dog (Bitcoin),DOG,dog-go-to-the-moon-rune
APENFT,NFT,apenft
DeepBook,DEEP,deep
Telcoin,TEL,telcoin
ether.fi Staked ETH,EETH,ether-fi-staked-eth
Circle USYC,USYC,hashnote-usyc
Axie Infinity,AXS,axie-infinity
USDB,USDB,usdb
Ether.fi,ETHFI,ether-fi
Reserve Rights,RSR,reserve-rights-token
Movement,MOVE,movement
KAITO,KAITO,kaito
Coinbase Wrapped Staked ETH,CBETH,coinbase-wrapped-staked-eth
Mantle Bridged USDT (Mantle),USDT,mantle-bridged-usdt-mantle
Chiliz,CHZ,chiliz
Ronin,RON,ronin
Swell Ethereum,SWETH,sweth
Zebec Network,ZBCN,zebec-network
BUILDon,B,build-on
Sun Token,SUN,sun-token
Polygon PoS Bridged WETH (Polygon POS),WETH,polygon-pos-bridged-weth-polygon-pos
Akash Network,AKT,akash-network
Popcat,POPCAT,popcat
Polygon Bridged WBTC (Polygon POS),WBTC,polygon-bridged-wbtc-polygon-pos
Ravencoin,RVN,ravencoin
Beam,BEAM,beam-2
Wormhole,W,wormhole
Ether.fi Staked BTC,EBTC,ether-fi-staked-btc
Amp,AMP,amp-token
JUST,JST,just
Bybit Staked SOL,BBSOL,bybit-staked-sol
Trust Wallet,TWT,trust-wallet-token
Frax Ether,FRXETH,frax-ether
Terra Luna Classic,LUNC,terra-luna
Polygon,MATIC,matic-network
Olympus,OHM,olympus
Wrapped AVAX,WAVAX,wrapped-avax
Gnosis,GNO,gnosis
Global Dollar,USDG,global-dollar
Legacy Frax Dollar,FRAX,frax
Livepeer,LPT,livepeer
Binance-Peg BUSD,BUSD,binance-peg-busd
Creditcoin,CTC,creditcoin-2
SuperVerse,SUPER,superfarm
1inch,1INCH,1inch
Cheems Token,CHEEMS,cheems-token
Turbo,TURBO,turbo
aBTC,ABTC,abtc
Safe,SAFE,safe
Venom,VENOM,venom
OpenEden OpenDollar,USDO,openeden-open-dollar
cat in a dogs world,MEW,cat-in-a-dogs-world
MANTRA,OM,mantra-dao
BENQI Liquid Staked AVAX,SAVAX,benqi-liquid-staked-avax
Compounding OpenDollar,CUSDO,compounding-open-dollar
Berachain,BERA,berachain-bera
cWBTC,CWBTC,compound-wrapped-btc
Kusama,KSM,kusama
Polygon PoS Bridged DAI (Polygon POS),DAI,polygon-pos-bridged-dai-polygon-pos
BTSE Token,BTSE,btse-token
Dash,DASH,dash
Drift Staked SOL,DSOL,drift-staked-sol
Peanut the Squirrel,PNUT,peanut-the-squirrel
Plume,PLUME,plume
Trip,TRIP,trip
Staked Frax Ether,SFRXETH,staked-frax-ether
MX,MX,mx-token
Mina Protocol,MINA,mina-protocol
Frax (prev. FXS),FRAX,frax-share
Decred,DCR,decred
Theta Fuel,TFUEL,theta-fuel
ETHPlus,ETH+,reserve-protocol-eth-plus
SafePal,SFP,safepal
Gigachad,GIGA,gigachad-2
LayerZero,ZRO,layerzero
Golem,GLM,golem
Synthetix Network,SNX,havven
CHEX Token,CHEX,chex-token
Toshi,TOSHI,toshi
Baby Doge Coin,BABYDOGE,baby-doge-coin
Zilliqa,ZIL,zilliqa
Notcoin,NOT,notcoin
Treehouse ETH,TETH,treehouse-eth
Qtum,QTUM,qtum
Convex Finance,CVX,convex-finance
Moca Network,MOCA,mocaverse
Arkham,ARKM,arkham
Aave USDC (Sonic),ASONUSDC,aave-usdc-sonic
Spiko EU T-Bills Money Market Fund,EUTBL,eutbl
Solana Swap,SOS,solana-swap
Astar,ASTR,astar
GHO,GHO,gho
Resolv USR,USR,resolv-usr
KOGE,KOGE,bnb48-club-token
ai16z,AI16Z,ai16z
Universal BTC,UNIBTC,universal-btc
Wrapped Beacon ETH,WBETH,wrapped-beacon-eth
Wrapped Ether (Mantle Bridge),WETH,wrapped-ether-mantle-bridge
Blur,BLUR,blur
0x Protocol,ZRX,0x
Oasis,ROSE,oasis-network
Neiro,NEIRO,neiro-3
SwissBorg,BORG,swissborg
Basic Attention,BAT,basic-attention-token
Launch Coin on Believe,LAUNCHCOIN,ben-pasternak
Verus,VRSC,verus-coin
ZKsync,ZK,zksync
EURC,EURC,euro-coin
Evolve,EVOLVE,evolve-2
IoTeX,IOTX,iotex
Gas,GAS,gas
Tribe,TRIBE,tribe-2
USDa,USDA,usda-2
Snek,SNEK,snek
Nervos Network,CKB,nervos-network
Freysa AI,FAI,freysa-ai
Tradable NA Rent Financing Platform SSTN,PC0000031,tradable-na-rent-financing-platform-sstn
VeThor,VTHO,vethor-token
AgentFun.AI,AGENTFUN,agentfun-ai
OriginTrail,TRAC,origintrail
Blockchain Capital,BCAP,blockchain-capital
Siacoin,SC,siacoin
ZetaChain,ZETA,zetachain
Qubic,QUBIC,qubic-network
ORDI,ORDI,ordinals
yearn.finance,YFI,yearn-finance
Vana,VANA,vana
Infrared Bera,IBERA,infrared-bera
CoW Protocol,COW,cow-protocol
SQD,SQD,subsquid
Celo,CELO,celo
Moo Deng,MOODENG,moo-deng
Echelon Prime,PRIME,echelon-prime
Aster Staked BNB,ASBNB,astherus-staked-bnb
Stargate Finance,STG,stargate-finance
Binance-Peg SOL,SOL,binance-peg-sol
Holo,HOT,holotoken
Elixir deUSD,DEUSD,elixir-deusd
Animecoin,ANIME,anime
Steakhouse USDC Morpho Vault,STEAKUSDC,steakhouse-usdc-morpho-vault
Harmony,ONE,harmony
ICON,ICX,icon
aelf,ELF,aelf
Casper Network,CSPR,casper-network
aixbt by Virtuals,AIXBT,aixbt
GoMining Token,GOMINING,gmt-token
Polymesh,POLYX,polymesh
GMX,GMX,gmx
WEMIX,WEMIX,wemix-token
Purr,PURR,purr-2
Lagrange,LA,lagrange
Bridged Ether (StarkGate),ETH,bridged-wrapped-ether-starkgate
Ankr Network,ANKR,ankr
Nexus Mutual,NXM,nxm
CoinEx,CET,coinex-token
Chia,XCH,chia
EthereumPoW,ETHW,ethereum-pow-iou
Solayer,LAYER,solayer
Mask Network,MASK,mask-network
UXLINK,UXLINK,uxlink
Kinesis Gold,KAU,kinesis-gold
SKOR AI,SKORAI,skor-ai
Wrapped fragSOL,WFRAGSOL,wrapped-fragsol
Drift Protocol,DRIFT,drift-protocol
DigiByte,DGB,digibyte
WOO,WOO,woo-network
GMT,GMT,stepn
Zano,ZANO,zano
Fluid,FLUID,instadapp
Threshold Network,T,threshold-network-token
Horizen,ZEN,zencash
Kadena,KDA,kadena
Euler,EUL,euler
Babylon,BABY,babylon
ZIGChain,ZIG,zignaly
MAG7.ssi,MAG7.SSI,mag7-ssi
XYO Network,XYO,xyo-network
Rekt,REKT,rekt-4
TDCCP,TDCCP,tdccp
Rocket Pool,RPL,rocket-pool
Sui Bridged USDT (Sui),SBUSDT,sui-bridged-usdt-sui
STASIS EURO,EURS,stasis-eurs
Orca,ORCA,orca
MimboGameGroup,MGG,mimbogamegroup
Origin Ether,OETH,origin-ether
Osmosis,OSMO,osmosis
Kinesis Silver,KAG,kinesis-silver
cETH,CETH,compound-ether
KUB Coin,KUB,bitkub-coin
Enjin Coin,ENJ,enjincoin
Sushi,SUSHI,sushi
Resolv RLP,RLP,resolv-rlp
BORA,BORA,bora
Cronos Bridged USDC (Cronos),USDC,cronos-bridged-usdc-cronos
Paycoin,PCI,pay-coin
GOHOME,GOHOME,gohome
Daku,DAKU,der-daku
crvUSD,CRVUSD,crvusd
SWFTCOIN,SWFTC,swftcoin
Nano,XNO,nano
AWE Network,AWE,stp-network
Kamino,KMNO,kamino
BitDCA,BDCA,bitdca
io.net,IO,io
Magic Eden,ME,magic-eden
BOOK OF MEME,BOME,book-of-meme
Ontology,ONT,ontology
Level USD,LVLUSD,level-usd
Coinshift USDL Morpho Vault,CSUSDL,coinshift-usdl-morpho-vault
AUSD,AUSD,agora-dollar
World Mobile Token,WMTX,world-mobile-token
Cookie DAO,COOKIE,cookie
Amnis Aptos,AMAPT,amnis-aptos
SKALE,SKL,skale
UMA,UMA,uma
Pocket Network,POKT,pocket-network
COTI,COTI,coti
Anzen USDz,USDZ,anzen-usdz
Function �BTC,FBTC,ignition-fbtc
Resupply USD,REUSD,resupply-usd
Acet,ACT,acet-token
Goatseus Maximus,GOAT,goatseus-maximus
Tellor Tributes,TRB,tellor
Illuvium,ILV,illuvium
Chutes,CHUTES,dtao-64-Chutes
Solar,SXP,swipe
Terra,LUNA,terra-luna-2
Non-Playable Coin,NPC,non-playable-coin
Metis,METIS,metis-token
Status,SNT,status
Mythos,MYTH,mythos
LMGroupToken,LMGX,lmgrouptoken
LCX,LCX,lcx
PAAL AI,PAAL,paal-ai
Melania Meme,MELANIA,melania-meme
VVS Finance,VVS,vvs-finance
Gamebitcoin Power,PWR,gamebitcoin-power
Venice Token,VVV,venice-token
Hivemapper,HONEY,hivemapper
Verasity,VRA,verasity
Alchemist AI,ALCH,alchemist-ai
Big Time,BIGTIME,big-time
AI Companions,AIC,ai-companions
ViciCoin,VCNT,vicicoin
Hive,HIVE,hive
Chutes,SN64,chutes
Siren,SIREN,siren-2
Lorenzo stBTC,STBTC,lorenzo-stbtc
Ozone Chain,OZO,ozone-chain
Bio Protocol,BIO,bio-protocol
Request,REQ,request-network
Ribbita by Virtuals,TIBBIR,ribbita-by-virtuals
Aster USDF,USDF,astherus-usdf
Venus,XVS,venus
Waves,WAVES,waves
ConstitutionDAO,PEOPLE,constitutiondao
Moonwell,WELL,moonwell-artemis
Zenrock BTC,ZENBTC,wrapped-zenbtc
sBTC,SBTC,sbtc-2
Resolv wstUSR,WSTUSR,resolv-wstusr
Conscious Token,CONSCIOUS,conscious-token
Noble Dollar (USDN),USDN,noble-dollar-usdn
Band Protocol,BAND,band-protocol
Metaplex,MPLX,metaplex
Liquity,LQTY,liquity
Beets Staked Sonic,STS,beets-staked-sonic
Spiko US T-Bills Money Market Fund,USTBL,spiko-us-t-bills-money-market-fund
TNQ,TNQ,trinique
Rollbit Coin,RLB,rollbit-coin
Loopring,LRC,loopring
Usual,USUAL,usual
Entangle,NTGL,entangle
Sophon,SOPH,sophon
IOST,IOST,iostoken
Sologenic,SOLO,solo-coin
Lift Dollar,USDL,lift-dollar
SingularityNET,AGIX,singularitynet
GAL (migrated to Gravity - G),GAL,project-galaxy
Constellation,DAG,constellation-labs
Degen,DEGEN,degen-base
Clearpool,CPOOL,clearpool
Centrifuge [OLD],CFG,centrifuge
Alchemy Pay,ACH,alchemy-pay
Solidus Ai Tech,AITECH,solidus-aitech
Optimism Bridged WBTC (Optimism),WBTC,optimism-bridged-wbtc-optimism
Energy Web,EWT,energy-web-token
QL1 Bridged USDT (QL1),QUSDT,qusdt
Solv Protocol SolvBTC Jupiter,SOLVBTC.JUP,solv-protocol-solvbtc-jupiter
Biconomy,BICO,biconomy
Restaked Swell ETH,RSWETH,restaked-swell-eth
Prom,PROM,prometeus
AltLayer,ALT,altlayer
Ardor,ARDR,ardor
Yield Guild Games,YGG,yield-guild-games
Delysium,AGI,delysium
Manta Network,MANTA,manta-network
NKYC Token,NKYC,nkyc-token
Gravity (by Galxe),G,g-token
PHALA,PHA,pha
The Grays Currency,PTGC,the-grays-currency
BitMart,BMX,bitmart-token
Diverge Loop,DLC,diamond-launch
Elixir Staked deUSD,SDEUSD,elixir-staked-deusd
Velo,VELO,velo
Verge,XVG,verge
Initia,INIT,initia
0x0.ai: AI Smart Contract,0X0,0x0-ai-ai-smart-contract
L2 Standard Bridged frxUSD,FRXUSD,l2-standard-bridged-frxusd
Orbs,ORBS,orbs
XPR Network,XPR,proton
CARV,CARV,carv
Arbitrum Bridged USDC (Arbitrum),USDC.E,usd-coin-ethereum-bridged
SATS (Ordinals),SATS,sats-ordinals
HarryPotterObamaSonic10Inu (ETH),BITCOIN,harrypotterobamasonic10in
Relend USDC,REUSDC,relend-usdc
L2 Standard Bridged WETH (Optimism),WETH,l2-standard-bridged-weth-optimism
Cetus Protocol,CETUS,cetus-protocol
RedStone,RED,redstone-oracles
Api3,API3,api3
OKT Chain,OKT,oec-token
Undeads Games,UDS,undeads-games
Audius,AUDIO,audius
Stratis,STRAX,stratis
DOLA,DOLA,dola-usd
MVL,MVL,mass-vehicle-ledger
Dymension,DYM,dymension
Tokenlon,LON,tokenlon
NexusMind,NMD,nexusmind
Aevo,AEVO,aevo-exchange
Cronos Bridged USDT (Cronos),USDT,cronos-bridged-usdt-cronos
Powerledger,POWR,power-ledger
Memecoin,MEME,memecoin-2
HOME,HOME,home
Solayer Staked SOL,SSOL,solayer-staked-sol
L2 Standard Bridged WETH (Blast),WETH,l2-standard-bridged-weth-blast
Flux,FLUX,zelcash
Songbird,SGB,songbird
TempleDAO,TEMPLE,temple
B3 (Base),B3,b3
Neiro on ETH,NEIRO,neiro-on-eth
IQ,IQ,everipedia
Staked Level USD,SLVLUSD,level-staked-usd
Sign,SIGN,sign-global
Spell,SPELL,spell-token
ChainGPT,CGPT,chaingpt
Lisk,LSK,lisk
peaq,PEAQ,peaq-2
Civic,CVC,civic
MetFi,METFI,metfi-2
Coreum,COREUM,coreum
Moonwell Flagship ETH (Morpho Vault),MWETH,moonwell-flagship-eth-morpho-vault
Zeus Network,ZEUS,zeus-network
Renzo Restaked LST,PZETH,renzo-restaked-lst
Xai,XAI,xai-blockchain
PONKE,PONKE,ponke
Apollo Diversified Credit Securitize Fund,ACRED,apollo-diversified-credit-securitize-fund
MiL.k,MLK,milk-alliance
Pundi X,PUNDIX,pundi-x-2
Across Protocol,ACX,across-protocol
aura,AURA,aura-on-sol
Moonbeam,GLMR,moonbeam
Blast,BLAST,blast
Sonic SVM,SONIC,sonic-svm
Stronghold,SHX,stronghold-token
Banana Gun,BANANA,banana-gun
Huma Finance,HUMA,huma-finance
ALEO,ALEO,aleo
USDX,USDX,usdx
WAX,WAXP,wax
Reservoir rUSD,RUSD,reservoir-rusd
Dogs,DOGS,dogs-2
Rei,REI,unit-00-rei
Layerzero Bridged weETH (Swellchain),WEETH,layerzero-bridged-weeth-swellchain
Omni Network,OMNI,omni-network
dKargo,DKA,dkargo
SPACE ID,ID,space-id
BCGame Coin,BC,bc-token
Arcblock,ABT,arcblock
Taiko,TAIKO,taiko
Bancor Network,BNT,bancor
Ontology Gas,ONG,ong
WalletConnect Token,WCT,connect-token-wct
iExec RLC,RLC,iexec-rlc
Solv Protocol SolvBTC.CORE,SOLVBTC.CORE,solv-protocol-solvbtc-core
Kelp Gain,AGETH,kelp-gain
Marlin,POND,marlin
ao Computer,AO,ao-computer
Polymath,POLY,polymath
Adventure Gold,AGLD,adventure-gold
BULLA,BULLA,bulla-3
BTU Protocol,BTU,btu-protocol
SSV Network,SSV,ssv-network
Ronin Bridged WETH (Ronin),WETH,ronin-bridged-weth-ronin
ARK,ARK,ark
Pax Dollar,USDP,paxos-standard
Apu Apustaja,APU,apu-s-club
Dogelon Mars,ELON,dogelon-mars
Saga,SAGA,saga-2
Chromia,CHR,chromaway
Ergo,ERG,ergo
Global Commercial Business,GCB,global-commercial-business
Bucket Protocol BUCK Stablecoin,BUCK,bucket-protocol-buck-stablecoin
Merlin Chain,MERL,merlin-chain
Bridged Wrapped stETH (Gnosis),WSTETH,bridged-wrapped-steth-gnosis
Balancer,BAL,balancer
Nillion,NIL,nillion
MIU,MIU,miu-2
LiquidLaunch,LIQD,liquidlaunch
Felix feUSD,FEUSD,felix-feusd
Pundi AI,PUNDIAI,pundi-aifx
sUSDa,SUSDA,susda
MEOW,MEOW,meow
APF coin,APFC,apf-coin
Steem,STEEM,steem
Dent,DENT,dent
Goldfinch,GFI,goldfinch
BabyBoomToken,BBT,babyboomtoken
BLOCKv,VEE,blockv
Hamster Kombat,HMSTR,hamster-kombat
Solana Name Service (prev. Bonfida),FIDA,bonfida
Rings scBTC,SCBTC,rings-scbtc
Bounce,AUCTION,auction
Medibloc,MED,medibloc
Osaka Protocol,OSAK,osaka-protocol
Staked FRAX,SFRAX,staked-frax
Geodnet,GEOD,geodnet
Radix,XRD,radix
ROAM Token,ROAM,roam-token
Fimarkcoin.com,FMC,fimarkcoin-com
TerraClassicUSD,USTC,terrausd
Avail,AVAIL,avail
JOE,JOE,joe
ANDY ETH,ANDY,andy-the-wisguy
Zircuit,ZRC,zircuit
TARS AI,TAI,tars-protocol
Ocean Protocol,OCEAN,ocean-protocol
Numeraire,NMR,numeraire
Shuffle,SHFL,shuffle-2
Hey Anon,ANON,heyanon
f(x) Protocol fxUSD,FXUSD,f-x-protocol-fxusd
MindWaveDAO,NILA,mindwavedao
Bone ShibaSwap,BONE,bone-shibaswap
Bit2Me,B2M,bit2me
Solv Protocol,SOLV,solv-protocol
Puff The Dragon,PUFF,puff-the-dragon
Wilder World,WILD,wilder-world
Unipoly,UNP,unipoly
Metal DAO,MTL,metal
Moonriver,MOVR,moonriver
Vanar Chain,VANRY,vanar-chain
Frax USD,FRXUSD,frax-usd
Wrapped POL,WPOL,wmatic
Avant USD,AVUSD,avant-usd
Iagon,IAG,iagon
Incrypt,INC,incrypt
USUALx,USUALX,usualx
Liqwid Finance,LQ,liqwid-finance
Neutron,NTRN,neutron-3
Honey,HONEY,honey-3
Renzo Restaked SOL,EZSOL,renzo-restaked-sol
Infinitar Governance Token,IGT,infinitar-governance-token
Zentry,ZENT,zentry
Humans.ai,HEART,humans-ai
SpaceN,SN,spacen
StakeStone Berachain Vault Token,BERASTONE,stakestone-berachain-vault-token
GameBuild,GAME,gamebuild
Smooth Love Potion,SLP,smooth-love-potion
Banana For Scale,BANANAS31,banana-for-scale-2
Kyber Network Crystal,KNC,kyber-network-crystal
ECOMI,OMI,ecomi
Propy,PRO,propy
Oasys,OAS,oasys
Looped Hype,LHYPE,looped-hype
Supra,SUPRA,supra
NEM,XEM,nem
Aergo,AERGO,aergo
BUSD,BUSD,binance-usd
Nosana,NOS,nosana
Ski Mask Dog,SKI,ski-mask-dog
Oraichain,ORAI,oraichain-token
RealLink,REAL,reallink
Avant Staked USD,SAVUSD,avant-staked-usd
Particle Network,PARTI,particle-network
Scroll,SCR,scroll
SaaSGo,SAAS,saasgo
Tokamak Network,TON,tokamak-network
Just a chill guy,CHILLGUY,chill-guy
ResearchCoin,RSC,researchcoin
Central African Republic Meme,CAR,central-african-republic-meme
Cartesi,CTSI,cartesi
Gemini Dollar,GUSD,gemini-dollar
Comedian,BAN,comedian
Seedify.fund,SFUND,seedify-fund
Magic Internet Money (Ethereum),MIM,magic-internet-money
Bridged Tether (opBNB),USDT,bridged-tether-opbnb
Railgun,RAIL,railgun
VaderAI by Virtuals,VADER,vaderai-by-virtuals
VanEck Treasury Fund,VBILL,vaneck-treasury-fund
The Arena,ARENA,the-arena
SoSoValue,SOSO,sosovalue
CYBER,CYBER,cyberconnect
BENQI,QI,benqi
Secret,SCRT,secret
Bifrost,BFC,bifrost
Fuel Network,FUEL,fuel-network
Fwog,FWOG,fwog
Standard Bridged USDC.e (Optimism),USDC.E,bridged-usd-coin-optimism
Cronos Bridged WBTC (Cronos),WBTC,cronos-bridged-wbtc-cronos
Rootstock Infrastructure Framework,RIF,rif-token
Islamic Coin,ISLM,islamic-coin
Access Protocol,ACS,access-protocol
CorgiAI,CORGIAI,corgiai
Sundog,SUNDOG,sundog
Marinade,MNDE,marinade
Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token
Autonolas,OLAS,autonolas
TAOHash,TAOHASH,dtao-14-TAOHash
Metal Blockchain,METAL,metal-blockchain
Escoin,ELG,escoin-token
BIM,BIM,bim-2
XPLA,XPLA,xpla
SMARDEX,SDEX,smardex
WINkLink,WIN,wink
DIA,DIA,dia-data
PinLink,PIN,pinlink
QuarkChain,QKC,quark-chain
Hunt,HUNT,hunt-token
Zedxion,ZEDXION,zedxion
Gods Unchained,GODS,gods-unchained
GRIFFAIN,GRIFFAIN,griffain
Web 3 Dollar,USD3,web-3-dollar
TruFin Staked APT,TRUAPT,trufin-staked-apt
AI Analysis Token,AIAT,ai-analysis-token
Plume USD,PUSD,plume-usd
Celer Network,CELR,celer-network
Coin98,C98,coin98
TAOHash,SN14,taohash
Hippo Protocol,HP,hippo-protocol
Aurora,AURORA,aurora-near
?emplar,?EMPLAR,dtao-3-?emplar
Myria,MYRIA,myria
Velodrome Finance,VELO,velodrome-finance
MMX,MMX,m2-global-wealth-limited-mmx
Resolv,RESOLV,resolv
BugsCoin,BGSC,bugscoin
Overnight.fi USD+,USD+,usd
Sygnum FIUSD Liquidity Fund,FIUSD,sygnum-fiusd-liquidity-fund
EUR CoinVertible,EURCV,societe-generale-forge-eurcv
